id;titel;kategorie;Datum;Was & Wo;text;stadtteil-json;bild;Stadtteil;stadtteil_id
1895314;Gelber Sack;Gelbe Säcke;2025-08-26;Gelber Sack vierzehntägig Altstadt ohne Mainviertel;;"{""@id"": ""19935"", ""name"": ""Altstadt""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406383_gelbersack2.jpg;Altstadt;19935
1895756;Bioabfall;Biomüll;2025-08-26;Bioabfall Versbach;;"{""@id"": ""19945"", ""name"": ""Versbach""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406380_biotonne.jpg;Versbach;19945
1894182;Papier;Papier;2025-08-26;Papier  vierzehntägig Altstadt ohne Mainviertel;;"{""@id"": ""19935"", ""name"": ""Altstadt""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406378_papiertonne.jpg;Altstadt;19935
1894702;Restmüll;Restmüll;2025-08-26;Restmüll vierzehntägig Versbach;;"{""@id"": ""19945"", ""name"": ""Versbach""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406385_restmuell.jpg;Versbach;19945
1896535;Bioabfall;Biomüll;2025-08-26;Bioabfall Altstadt ohne Mainviertel;;"{""@id"": ""19935"", ""name"": ""Altstadt""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406382_biotonne.jpg;Altstadt;19935
1896379;Bioabfall;Biomüll;2025-08-27;Bioabfall Pilziggrund;;"{""@id"": ""401083"", ""name"": ""Pilziggrund""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406382_biotonne.jpg;Pilziggrund;401083
1896483;Bioabfall;Biomüll;2025-08-27;Bioabfall Lengfeld;;"{""@id"": ""19941"", ""name"": ""Lengfeld""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406382_biotonne.jpg;Lengfeld;19941
1895341;Gelber Sack;Gelbe Säcke;2025-08-27;Gelber Sack vierzehntägig Lengfeld;;"{""@id"": ""19941"", ""name"": ""Lengfeld""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406383_gelbersack2.jpg;Lengfeld;19941
1895912;Bioabfall;Biomüll;2025-08-27;Bioabfall Zellerau;;"{""@id"": ""19946"", ""name"": ""Zellerau""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406380_biotonne.jpg;Zellerau;19946
1895965;Bioabfall;Biomüll;2025-08-27;Bioabfall Mainviertel;;"{""@id"": ""403103"", ""name"": ""Mainviertel""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406380_biotonne.jpg;Mainviertel;403103
1896070;Bioabfall;Biomüll;2025-08-27;Bioabfall Ober- und Unterdürrbach, Dürrbachau mit Hafen;;"{""@id"": ""19936"", ""name"": ""Dürrbach alle mit Hafen""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406380_biotonne.jpg;Dürrbach alle mit Hafen;19936
1894214;Papier;Papier;2025-08-27;Papier vierzehntägig Pilziggrund;;"{""@id"": ""401083"", ""name"": ""Pilziggrund""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406378_papiertonne.jpg;Pilziggrund;401083
1894241;Papier;Papier;2025-08-27;Papier vierzehntägig Lengfeld;;"{""@id"": ""19941"", ""name"": ""Lengfeld""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406378_papiertonne.jpg;Lengfeld;19941
1894729;Restmüll;Restmüll;2025-08-27;Restmüll vierzehntägig Zellerau;;"{""@id"": ""19946"", ""name"": ""Zellerau""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406385_restmuell.jpg;Zellerau;19946
